NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
Aaron Baddeley,83,70.088,291.9,60,60.35,0.629,0.435,1.064,"17,703",7,1,2007,"$3,441,119",AUS
Adam Scott,69,70.008,300.9,59.17,65.44,0.129,1.105,1.234,"15,630",6,1,2007,"$3,413,185",AUS
Alex Cejka,80,70.437,288.9,68.08,69.44,-0.479,1.207,0.728,"2,400",4,,2007,"$868,303",GER
Anders Hansen,55,70.856,280.7,66.95,62.85,-0.176,0.087,-0.089,"1,989",,,2007,"$461,216",DEN
Andrew Buckle,77,71.443,294.7,58.14,62.52,0.161,-0.426,-0.265,"1,875",1,,2007,"$513,630",AUS
Anthony Kim,93,70.128,302.4,60.79,65.35,-0.121,0.794,0.673,"6,856",4,,2007,"$1,545,195",USA
Arron Oberholser,69,69.807,285.5,61.7,62.25,0.362,0.821,1.183,"8,811",5,,2007,"$1,797,458",USA
Bart Bryant,87,70.637,281.1,70.66,66.34,0.198,0.44,0.638,"4,555",2,,2007,"$1,167,874",USA
Ben Curtis,80,71.582,277.1,67.37,60.56,-0.188,-0.561,-0.749,"2,955",2,,2007,"$772,321",USA
Bill Haas,93,70.653,302.7,62.93,65.98,-0.018,0.426,0.408,"2,461",3,,2007,"$967,443",USA
Billy Andrade,88,71.588,286.2,59.56,65.03,-0.134,-0.107,-0.241,"2,019",,,2007,"$499,197",USA
Billy Mayfair,98,70.444,286.8,70.7,68.08,-0.086,0.69,0.604,"6,309",6,,2007,"$1,814,518",USA
Bo Van Pelt,104,70.051,294.7,61.97,66.4,0.16,0.789,0.949,"5,604",4,,2007,"$1,559,181",USA
Bob Estes,88,70.962,282.6,65.28,63.19,0.616,-0.235,0.38,"3,119",3,,2007,"$878,051",USA
Bob Heintz,85,71.162,285.2,64.74,63.17,0.221,-0.143,0.078,"2,888",2,,2007,"$649,342",USA
Bob Tway,103,71.272,284.3,60.45,63.52,0.16,-0.489,-0.329,"1,790",,,2007,"$456,767",USA
Boo Weekley,101,70.303,296.6,64.65,65.86,-0.192,0.819,0.627,"10,790",5,1,2007,"$2,613,211",USA
Brandt Snedeker,105,70.089,285.6,59.8,64.58,0.511,0.161,0.672,"13,277",6,1,2007,"$2,836,643",USA
Brendon de Jonge,76,71.413,293.8,59.2,64.35,-0.083,-0.188,-0.271,"1,010",2,,2007,"$447,172",ZIM
Brett Quigley,79,71.212,290.7,55.9,62.11,-0.005,0.134,0.128,"2,963",1,,2007,"$717,411",USA
Brett Wetterich,88,70.902,303.3,58.15,66.28,-0.533,0.667,0.134,"9,854",4,,2007,"$2,208,282",USA
Brian Bateman,55,71.657,291.6,58.74,61.33,-0.079,-0.66,-0.739,"5,102",1,1,2007,"$1,022,763",USA
Brian Davis,101,70.799,279.6,71.96,64.96,0.065,0.528,0.593,"4,653",3,,2007,"$1,289,207",ENG
Brian Gay,107,70.877,270,72.9,62.94,0.384,-0.028,0.356,"4,619",2,,2007,"$1,114,571",USA
Briny Baird,115,70.662,292.1,66.24,69.27,-0.049,0.635,0.586,"3,517",1,,2007,"$985,453",USA
Bryce Molder,56,72.853,291.2,54.82,59.47,0.186,-1.629,-1.443,107,1,,2007,"$257,593",USA
Bubba Dickerson,51,72.712,298.9,61.68,59.34,-0.66,-0.97,-1.63,252,,,2007,"$87,430",USA
Bubba Watson,80,70.914,315.2,55.66,65.49,0.085,0.288,0.372,"7,198",5,,2007,"$1,654,807",USA
Cameron Beckman,96,70.845,291.9,67.7,69.87,-0.072,0.49,0.418,"1,610",3,,2007,"$902,258",USA
Camilo Villegas,82,70.163,298.3,60.23,65.72,0.046,0.903,0.949,"10,337",6,,2007,"$1,866,961",COL
Carl Pettersson,111,70.453,288.5,59.41,63.84,0.232,0.589,0.821,"7,309",6,,2007,"$2,040,938",SWE
Chad Campbell,96,71.309,287,62.79,63.77,-0.477,0.24,-0.237,"3,144",2,1,2007,"$1,701,242",USA
Charles Howell III,89,70.655,299.8,49.54,63.37,0.338,0.03,0.368,"13,427",5,1,2007,"$2,832,091",USA
Charles Warren,101,70.793,302.8,66.81,68.37,-0.324,0.638,0.314,"4,012",3,,2007,"$1,068,440",USA
Charley Hoffman,97,71.229,299.9,57.08,64.03,0.153,-0.187,-0.034,"6,457",2,1,2007,"$1,689,366",USA
Charlie Wi,90,70.873,286,66.59,66.35,0.416,0.005,0.421,"4,038",3,,2007,"$1,145,975",KOR
Chris Couch,76,71.783,299.8,56.59,64.11,-0.135,-0.481,-0.616,"1,494",,,2007,"$355,386",USA
Chris DiMarco,79,70.913,282.4,59.05,60.53,-0.068,0.183,0.115,"3,385",1,,2007,"$950,414",USA
Chris Riley,59,71.009,280.6,71.39,62.12,0.281,0.024,0.305,919,,,2007,"$403,199",USA
Chris Stroud,66,71.218,290,66.56,66.15,-0.087,0.046,-0.041,"1,174",2,,2007,"$673,106",USA
Chris Tidland,59,71.967,292.9,61.8,63.64,0.547,-1.253,-0.706,"1,044",1,,2007,"$339,482",USA
Cliff Kresge,107,70.76,285.6,61.15,64.75,0.095,-0.021,0.074,"3,915",1,,2007,"$901,549",USA
Corey Pavin,81,71.276,265.3,68.82,60.77,0.309,-0.487,-0.178,"2,081",1,,2007,"$498,252",USA
Craig Barlow,52,71.343,295.5,60.97,67.2,-0.253,0.278,0.024,451,,,2007,"$154,214",USA
Craig Bowden,78,71.565,273.1,73.07,64.91,0.255,-0.258,-0.004,"1,193",1,,2007,"$333,970",USA
Craig Kanada,109,71.065,277.2,65.96,64.5,0.012,-0.001,0.011,"3,189",1,,2007,"$743,305",USA
Craig Lile,77,71.386,283.9,63.27,63.04,0.484,-0.592,-0.108,599,,,2007,"$255,659",RSA
D.J. Brigman,67,71.467,288.9,62.2,66.05,-0.026,-0.464,-0.49,653,,,2007,"$268,205",USA
D.J. Trahan,99,71.083,295.1,65.36,66.95,-0.559,0.53,-0.029,"2,874",3,,2007,"$1,106,374",USA
Daisuke Maruyama,86,71.547,288.6,67.42,64.91,-0.265,-0.12,-0.385,685,1,,2007,"$499,206",JPN
Daniel Chopra,106,70.948,297.6,55.34,65.2,0.222,0.18,0.402,"2,919",3,1,2007,"$1,755,110",SWE
Darron Stiles,65,71.592,284.8,68.35,65.48,-1.017,0.368,-0.649,922,,,2007,"$215,379",USA
David Branshaw,83,72.223,289.2,65.74,64.73,-0.382,-0.662,-1.044,324,1,,2007,"$323,407",USA
David Toms,80,69.883,282.5,64.85,63.78,0.278,0.612,0.89,"8,859",7,,2007,"$2,095,837",USA
Davis Love III,66,70.984,296.8,58.58,64.02,-0.29,0.337,0.048,"4,317",3,,2007,"$1,016,489",USA
Dean Wilson,92,70.557,277.2,64,63.35,0.619,-0.175,0.444,"4,789",4,,2007,"$1,258,507",USA
Dicky Pride,71,71.465,281.4,62.65,63.6,0.307,-0.63,-0.322,907,1,,2007,"$415,792",USA
Doug LaBelle II,104,71.332,276.6,72.78,64.33,-0.018,-0.32,-0.338,"2,734",1,,2007,"$604,633",USA
Duffy Waldorf,69,71.648,287.5,64.88,66.99,-0.219,-0.032,-0.25,"1,313",,,2007,"$359,018",USA
Eric Axley,107,71.97,287.8,55.88,61.32,0.059,-0.784,-0.726,"1,740",,,2007,"$440,911",USA
Ernie Els,59,69.294,297.9,56.99,64.66,-0.031,1.609,1.578,"12,112",5,,2007,"$2,705,715",RSA
Frank Lickliter II,95,71.137,284.2,65.64,65.15,0.227,-0.139,0.088,"2,350",,,2007,"$584,084",USA
Fred Funk,65,70.55,271.8,75.26,61.75,0.265,-0.053,0.211,"4,626",2,1,2007,"$1,239,376",USA
Freddie Jacobson,70,70.259,284.7,63.62,66.19,0.66,0.353,1.012,"4,540",5,,2007,"$1,469,541",SWE
Gavin Coles,87,71.245,268.3,70.27,62.58,0.34,-0.626,-0.286,"2,174",2,,2007,"$511,353",AUS
Geoff Ogilvy,84,70.085,295.3,59.02,62.75,0.072,0.749,0.821,"13,390",7,,2007,"$2,943,203",AUS
George McNeill,95,70.991,298.2,59.84,63.43,0.487,-0.213,0.274,"3,524",2,1,2007,"$1,504,627",USA
Glen Day,85,71.172,280.7,70.42,64.33,0.063,-0.238,-0.175,"1,672",,,2007,"$397,491",USA
Greg Owen,81,72.086,296.5,64.08,68.14,-0.848,-0.066,-0.915,"1,321",1,,2007,"$426,601",ENG
Harrison Frazar,88,71.569,302.8,55.07,63.63,-0.439,0.011,-0.429,"2,710",2,,2007,"$698,534",USA
Heath Slocum,101,69.948,279.6,73.28,66.45,0.22,0.659,0.879,"9,132",6,,2007,"$2,184,379",USA
Henrik Stenson,52,70.935,296.3,56.97,61.23,0.3,-0.012,0.288,"6,948",2,1,2007,"$1,897,554",SWE
Hunter Mahan,91,69.99,296.7,68.05,66.91,0.213,0.419,0.632,"13,380",6,1,2007,"$2,858,995",USA
Ian Poulter,63,70.073,282.5,63.23,61.67,-0.038,0.958,0.92,"6,884",5,,2007,"$1,431,390",ENG
J.B. Holmes,71,71.377,312.6,58.7,64.57,-0.559,0.223,-0.336,"3,035",3,,2007,"$874,216",USA
J.J. Henry,86,70.506,294.4,63.96,66.67,0.024,0.45,0.473,"3,624",2,,2007,"$1,088,660",USA
J.P. Hayes,89,71.065,291.9,61.26,62.92,-0.002,0.297,0.295,"2,767",3,,2007,"$890,815",USA
Jaco Van Zyl,51,72.691,285.3,68.61,63.95,-0.418,-0.723,-1.141,224,,,2007,"$53,763",RSA
Jarrod Lyle,77,71.142,292.6,60.84,64.61,0.149,0.021,0.17,869,,,2007,"$390,303",AUS
Jason Bohn,57,70.614,287.1,65.2,65.01,-0.185,0.534,0.348,"2,334",,,2007,"$527,512",USA
Jason Dufner,100,71.154,289.7,60.74,65.06,-0.089,0.077,-0.012,"2,530",1,,2007,"$574,992",USA
Jason Gore,86,70.969,303,63.33,65.57,0.1,0.108,0.208,"4,483",3,,2007,"$1,105,985",USA
Jason Schultz,63,71.69,295.7,60.61,62.24,0.022,-0.495,-0.474,504,,,2007,"$163,244",USA
Jeff Brehaut,59,71.754,291.2,66.04,65.11,-0.25,-0.397,-0.647,711,,,2007,"$202,389",USA
Jeff Gove,103,71.146,290.5,65.67,70.17,-0.774,0.812,0.038,"1,763",1,,2007,"$526,644",USA
Jeff Maggert,79,71.195,284.2,65.73,66.53,-0.066,0.019,-0.047,"3,304",1,,2007,"$845,585",USA
Jeff Overton,60,70.339,299.3,63.66,68.87,0.06,0.822,0.882,"2,977",3,,2007,"$1,009,630",USA
Jeff Quinney,95,71.112,281.5,65.99,65.61,0.067,-0.104,-0.037,"6,160",5,,2007,"$1,612,056",USA
Jeff Sluman,60,71.758,280.5,59.41,61.01,-0.313,-0.335,-0.648,"1,030",1,,2007,"$273,192",USA
Jerry Kelly,101,70.313,281,68.28,64.83,-0.227,0.848,0.621,"8,259",7,,2007,"$1,978,034",USA
Jesper Parnevik,88,70.629,288.5,62.31,66.53,0.979,-0.375,0.604,"1,976",1,,2007,"$1,075,216",SWE
Jim Furyk,84,69.474,279.7,74.37,69.44,-0.083,1.202,1.119,"19,214",8,1,2007,"$4,154,046",USA
Jim Rutledge,59,72.679,288.5,67.27,64.24,-0.425,-1.042,-1.466,178,,,2007,"$62,242",CAN
Joe Durant,88,71.038,284.3,73.71,68.52,-0.901,0.88,-0.021,"2,500",,,2007,"$723,599",USA
Joe Ogilvie,102,70.761,289.5,61.23,61.68,0.351,0.073,0.425,"4,311",2,1,2007,"$1,339,153",USA
Joey Sindelar,75,71.664,287.1,65.29,66.67,-0.102,-0.171,-0.273,"1,160",,,2007,"$310,717",USA
John Daly,59,71.927,312.9,41.86,61.3,-0.297,-0.478,-0.775,"1,081",,,2007,"$248,501",USA
John Mallinger,96,71.085,280.9,69.91,62.96,0.068,-0.068,0,"5,888",4,,2007,"$1,681,764",USA
John Merrick,92,71.265,297.1,61.41,69.13,-0.409,0.385,-0.025,"2,358",1,,2007,"$649,438",USA
John Rollins,102,70.419,290.4,64.81,63.64,0.104,0.413,0.517,"10,577",4,,2007,"$2,488,891",USA
John Senden,97,70.566,294.2,65.91,70.33,-0.25,0.778,0.528,"6,268",5,,2007,"$1,899,558",AUS
Johnson Wagner,97,71.144,285.5,64.18,67.75,-0.229,0.424,0.195,"2,420",2,,2007,"$1,013,024",USA
Jonathan Byrd,73,70.488,292,59.84,63.55,0.296,0.213,0.51,"9,969",4,1,2007,"$1,854,906",USA
José Coceres,50,70.737,273,75.47,61.96,-0.283,0.245,-0.038,"4,980",3,,2007,"$1,287,843",ARG
José María Olazábal,52,71.521,276,50.5,54.33,0.481,-0.945,-0.464,"3,202",1,,2007,"$979,249",ESP
Justin Leonard,95,70.527,282.7,70.05,64.8,0.124,0.393,0.517,"3,998",5,1,2007,"$2,079,248",USA
Justin Rose,63,69.301,288.7,63.93,65.73,0.061,0.816,0.878,"12,682",7,,2007,"$2,705,875",ENG
K.J. Choi,87,69.611,284.1,64.71,65.29,0.518,0.874,1.392,"21,750",7,2,2007,"$4,587,859",KOR
Ken Duke,112,70.628,288.4,67.5,65.58,0.1,0.439,0.539,"6,656",5,,2007,"$1,927,102",USA
